,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
,0.56,2.735,2.180,0.56,3.075,2.099,0.56,3.501,1.879,0.56,4.057,1.383,0.56,2.256,1.288,0.56,7.487,3.757,0.56,4.850,2.553,0.56,4.136,3.900,0.56,3.277,1.261,0.56,5.708,4.006
,0.57,2.731,2.181,0.57,3.045,2.094,0.57,3.603,1.861,0.57,4.007,1.372,0.57,2.242,1.286,0.57,5.158,2.855,0.57,4.850,2.552,0.57,4.092,3.864,0.57,3.184,1.250,0.57,5.667,3.970
,0.58,2.739,2.182,0.58,3.036,2.098,0.58,5.376,2.219,0.58,4.023,1.378,0.58,2.253,1.282,0.58,7.504,3.757,0.58,4.838,2.546,0.58,4.094,3.866,0.58,2.725,1.177,0.58,5.660,3.963
,0.59,2.727,2.184,0.59,3.057,2.115,0.59,3.640,1.849,0.59,4.027,1.381,0.59,2.267,1.279,0.59,5.136,2.841,0.59,4.852,2.552,0.59,4.098,3.871,0.59,3.105,1.242,0.59,5.663,3.963
,0.5,2.736,2.172,0.5,3.008,2.023,0.5,8.278,3.004,0.5,4.046,1.371,0.5,2.175,1.313,0.5,5.662,3.067,0.5,4.778,2.520,0.5,4.088,3.852,0.5,3.138,1.223,0.5,5.709,4.020
,0.61,2.732,2.188,0.61,3.098,2.151,0.61,11.429,4.034,0.61,3.989,1.377,0.61,2.330,1.272,0.61,5.132,2.834,0.61,4.878,2.564,0.61,4.105,3.878,0.61,2.952,1.222,0.61,5.666,3.961
,0.62,2.727,2.189,0.62,3.093,2.157,0.62,5.511,2.250,0.62,3.910,1.362,0.62,2.306,1.269,0.62,5.159,2.841,0.62,4.876,2.563,0.62,4.107,3.881,0.62,2.927,1.221,0.62,5.667,3.959
,0.63,2.743,2.193,0.63,3.123,2.180,0.63,11.761,4.152,0.63,3.976,1.380,0.63,2.316,1.267,0.63,5.153,2.836,0.63,4.877,2.563,0.63,4.069,3.850,0.63,2.930,1.226,0.63,5.666,3.955
,0.64,2.732,2.193,0.64,3.094,2.174,0.64,5.722,2.307,0.64,3.985,1.385,0.64,2.333,1.264,0.64,5.143,2.830,0.64,4.874,2.561,0.64,4.072,3.853,0.64,2.983,1.237,0.64,5.670,3.956
,0.65,2.731,2.195,0.65,3.103,2.189,0.65,5.813,2.331,0.65,3.651,1.311,0.65,2.317,1.261,0.65,5.161,2.834,0.65,4.875,2.561,0.65,4.099,3.876,0.65,2.939,1.234,0.65,5.674,3.957
