qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement,qValue,WholeFieldAgreement,MaskedFieldAgreement
0.36,4.211,3.346,0.36,7.194,4.535,0.36,10.960,4.524,0.36,16.092,5.421,0.36,2.485,1.883,0.36,11.778,5.608,0.36,10.697,4.860,0.36,4.875,3.949,0.36,26.217,23.116,0.36,8.332,5.869
0.37,4.240,3.358,0.37,6.725,4.317,0.37,10.925,4.525,0.37,16.660,5.665,0.37,2.368,1.888,0.37,11.762,5.602,0.37,10.788,4.888,0.37,4.522,3.698,0.37,10.586,3.540,0.37,8.338,5.865
0.38,3.508,2.960,0.38,6.829,4.390,0.38,11.142,4.573,0.38,17.244,5.756,0.38,2.216,1.935,0.38,11.764,5.603,0.38,10.854,4.912,0.38,4.483,3.675,0.38,10.272,3.461,0.38,8.343,5.866
0.39,3.442,2.902,0.39,6.687,4.286,0.39,10.828,4.473,0.39,16.386,5.361,0.39,2.404,1.989,0.39,11.733,5.586,0.39,10.822,4.894,0.39,4.443,3.652,0.39,10.512,3.526,0.39,7.753,5.642
0.3,4.943,3.848,0.3,7.159,4.607,0.3,11.468,4.867,0.3,37.753,34.194,0.3,2.445,1.893,0.3,12.058,5.732,0.3,42.253,41.427,0.3,9.627,7.825,0.3,27.460,24.382,0.3,8.327,5.862
0.41,3.722,3.085,0.41,6.684,4.273,0.41,10.982,4.534,0.41,16.498,5.364,0.41,2.145,1.910,0.41,12.009,5.736,0.41,10.672,4.828,0.41,4.002,3.359,0.41,10.454,3.512,0.41,7.737,5.627
0.42,3.685,3.048,0.42,6.657,4.248,0.42,10.907,4.486,0.42,16.127,5.252,0.42,2.175,1.922,0.42,11.996,5.730,0.42,10.607,4.813,0.42,3.246,2.868,0.42,10.455,3.522,0.42,7.735,5.622
0.43,3.428,2.930,0.43,6.451,4.130,0.43,10.783,4.450,0.43,16.729,5.425,0.43,2.187,1.927,0.43,11.674,5.564,0.43,10.616,4.821,0.43,3.207,2.847,0.43,10.353,3.500,0.43,7.732,5.617
0.44,3.692,3.056,0.44,6.395,4.094,0.44,10.874,4.432,0.44,16.690,5.411,0.44,2.084,1.912,0.44,11.526,5.452,0.44,10.549,4.802,0.44,3.173,2.831,0.44,10.089,3.413,0.44,7.731,5.613
0.45,2.760,2.490,0.45,6.422,4.083,0.45,11.055,4.530,0.45,16.305,5.301,0.45,2.138,1.943,0.45,11.794,5.631,0.45,10.520,4.794,0.45,3.137,2.815,0.45,10.158,3.436,0.45,7.713,5.601
0.46,2.670,2.434,0.46,6.475,4.102,0.46,11.028,4.516,0.46,16.076,5.233,0.46,2.236,1.966,0.46,11.789,5.629,0.46,10.512,4.792,0.46,2.482,2.390,0.46,10.198,3.468,0.46,7.686,5.585
0.47,2.769,2.501,0.47,6.383,4.056,0.47,10.986,4.477,0.47,16.084,5.233,0.47,2.241,1.971,0.47,11.778,5.622,0.47,10.500,4.790,0.47,2.469,2.388,0.47,9.705,3.261,0.47,7.670,5.572
